X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
-3960.19,-9107.81,0,0
-3880.5,-9141.89,0,0
-3800.52,-9175.28,0,0
-3720.26,-9207.97,0,0
-3639.71,-9239.95,0,0
-3558.89,-9271.23,0,0
-3477.8,-9301.81,0,0
-3396.45,-9331.67,0,0
-3314.84,-9360.82,0,0
-3232.98,-9389.26,0,0
-3150.88,-9416.99,0,0
-3068.54,-9443.99,0,0
-2985.97,-9470.28,0,0
-2903.17,-9495.84,0,0
-2820.15,-9520.68,0,0
-2736.93,-9544.79,0,0
-2653.49,-9568.18,0,0
-2569.86,-9590.84,0,0
-2486.03,-9612.76,0,0
-2402.02,-9633.96,0,0
-2317.82,-9654.42,0,0
-2233.45,-9674.14,0,0
-2148.91,-9693.13,0,0
-2064.22,-9711.38,90.5491,98.9988
-1979.36,-9728.88,89.8823,100
-1894.36,-9745.65,90.2723,100
-1809.22,-9761.67,89.3824,100
-1723.94,-9776.95,88.4873,100
-1638.53,-9791.49,88.0821,100
-1553,-9805.28,87.3974,100
-1467.36,-9818.32,85.1852,100
-1381.6,-9830.61,85.0315,100
-1295.74,-9842.16,85.2829,100
-1209.79,-9852.95,84.921,100
-1123.75,-9862.99,85.9519,100
-1037.62,-9872.29,84.0065,100
-951.416,-9880.83,84.4938,100
-865.142,-9888.62,86.2352,100
-778.805,-9895.65,85.2691,100
-692.411,-9901.93,87.6517,100
-605.966,-9907.46,87.4189,100
-519.478,-9912.23,88.8077,100
-432.953,-9916.25,91.0695,100
-346.397,-9919.51,90.6054,100
-259.817,-9922.02,92.1111,100
-173.22,-9923.77,87.4613,3.0525
-86.6121,-9924.76,0,0
-1.82319e-12,-9925,58.5212,1.61172
86.6097,-9924.48,0,0
173.21,-9923.21,48.1982,2.27106
259.795,-9921.18,52.2102,3.12576
346.358,-9918.4,54.9073,1.88034
432.892,-9914.86,56.0192,3.71184
519.391,-9910.57,59.2208,3.32112
605.847,-9905.52,64.6979,2.75946
692.255,-9899.71,67.9483,2.36874
778.608,-9893.16,63.6748,2.8083
864.9,-9885.85,87.7186,3.27228
951.123,-9877.79,85.8416,3.76068
1037.27,-9868.97,87.2939,4.7619
1123.34,-9859.41,89.122,7.03297
1209.32,-9849.09,69.4201,3.58974
1295.2,-9838.02,89.6493,7.49695
1380.98,-9826.21,97.382,12.8938
1466.66,-9813.65,97.7044,14.4811
1552.22,-9800.34,98.264,12.967
1637.66,-9786.28,96.7684,24.7619
1722.98,-9771.48,95.8745,28.6203
1808.16,-9755.94,96.1916,98.9988
1893.2,-9739.65,95.7367,98.9988
1978.09,-9722.62,95.7422,100
2062.83,-9704.85,95.9311,100
2147.41,-9686.35,96.2955,100
2231.83,-9667.1,96.5965,100
2316.07,-9647.13,96.6098,100
2400.13,-9626.41,96.6407,100
2484.01,-9604.97,96.2853,100
2567.7,-9582.79,96.7274,100
2651.19,-9559.88,96.6318,100
2734.48,-9536.25,96.6976,100
2817.55,-9511.89,96.6513,100
2900.41,-9486.81,96.7742,100
2983.04,-9461,96.7648,100
3065.45,-9434.48,96.7582,100
3147.62,-9407.24,96.7064,100
3229.55,-9379.28,96.7786,100
3311.22,-9350.61,96.7842,100
3392.65,-9321.23,96.6845,100
3473.81,-9291.14,96.6313,100
3554.71,-9260.34,96.637,100
3635.34,-9228.84,96.557,100
